волыночка	волынка
воротца	ворота
воспитаньице	воспитание
воспоминаньице	воспоминание
восхищеньице	восхищение
впадинка	впадина
вставочка	вставка
втулочка	втулка
коньячок	коньяк
копчененький	копченый
копытце	копыто
коричневатый	коричневый
корочка	корка
коросточка	короста
космонавточка	космонавтка
костылик	костыль
костяшечка	костяшка
кралечка	краля
крантик	кран
краник	кран
кранчик	кран
красивенько	красиво
красочка	краска
красненький	красный
красноватый	красный
красотулечка	красотуля
краюшка	краюха
кровинка	кровь
кровиночка	кровь
кровинушка	кровь
кровища	кровь
кровушка	кровь
крупненько	крупно
крупенько	крупно
крылечко	крыльцо
крышечка	крышка
кубышечка	кубышка
кувшинчик	кувшин
Кузька	Кузя
курятинка	курятина
лазерочек	лазер
лампадочка	лампада
лампадка	лампада
лачужка	лачуга
Левушка	Лев
легендочка	легенда
легохонький	легкий
легенький	легкий
легонький	легкий
легусенький	легкий
легковатый	легкий
леопардик	леопард
лиловатый	лиловый
лиловенький	лиловый
Линдочка	Линда
пароходишко	пароход
пароходик	пароход
препаршиво	паршиво
паршивенько	паршиво
паскудненький	паскудный
патлатенький	патлатый
паутинка	паутина
пацанчик	пацан
пацаненок	пацан
пегасик	Пегас
пейзажик	пейзаж
пенальчик	пенал
первачок	первач
переводик	перевод
перегородочка	перегородка
перекладинка	перекладина
расходик	расход
расценочка	расценка
резиночка	резинка
ремешок	ремень
ресторанчик	ресторан
реченька	речь
родненький	родной
родственничек	родственник
розовенький	розовый
розоватый	розовый
румяненький	румяный
рундучок	рундук
русоволосенький	русоволосый
рыбничек	рыбник
рывочек	рывок
Сабиночка	Сабина
садик	сад
садочек	садок
сайтик	сайт
саквояжик	саквояж
самогончик	самогон
выступленьице	выступление
гадючка	гадюка
газировочка	газировка
галушечка	галушка
гвоздочек	гвоздь
гвоздик	гвоздь
Геночка	Гена
Генка	Гена
гильзочка	гильза
гимнастерочка	гимнастерка
глупышечка	глупышка
гниловатый	гнилой
горбоносенький	горбоносый
горбушечка	горбушка
горелочка	горелка
горошинка	горошина
липковатый	липкий
лисеночек	лисенок
лобастенький	лобастый
ловушечка	ловушка
лопаточка	лопатка
лохотрончик	лохотрон
лужочек	лужок
лучик	луч
Любашечка	Любаша
любовничек	любовник
прелюбопытно	любопытно
Людка	Люда
Людочка	Люда
людишки	люди
лярвочка	лярва
Мальвиночка	Мальвина
манжетка	манжета
маховичок	маховик
махорочка	махорка
медовичок	медовик
мексиканочка	мексиканка
мелочишка	мелочь
мемуарчик	мемуар
мерзенький	мерзкий
мерзенько	мерзко
механизмик	механизм
перестановочка	перестановка
переходик	переход
перчик	перец
перышко	перо
персияночка	персиянка
печальненький	печальный
печеночка	печенка
печеньице	печенье
печенюшка	печенье
пешочком	пешком
пехом	пешком
пивко	пиво
пикапчик	пикап
пикничок	пикник
пилочка	пилка
пилотик	пилот
пилюлька	пилюля
писечка	пися
писька	пися
пиписька	пися
питомничек	питомник
планировочка	планировка
планшетик	планшет
пленочка	пленка
плотвичка	плотва
плюшечка	плюшка
поворотик	поворот
сарделечка	сарделька
Светочка	Света
светлехонько	светло
свирепенький	свирепый
своеобразненько	своеобразно
сдобненький	сдобный
Сережа	Сергей
Сергуня	Сергей
Сергунька	Сергей
Сережка	Сергей
сериальчик	сериал
сероватенько	серовато
сеточка	сетка
сизоватый	сизый
сизенький	сизый
сипловатый	сиплый
греночка	гренка
грешнехонько	грешно
грудка	грудь
грудочка	грудь
группировочка	группировка
густенько	густо
густовато	густо
дамбочка	дамба
дворик	двор
дворяночка	дворянка
Дениска	Денис
дерьмецо	дерьмо
десяточек	десяток
дирижаблик	дирижабль
милостынька	милостыня
мирок	мир
мисочка	миска
мненьице	мнение
могилка	могила
молодочка	молодка
молчаньице	молчание
монголочка	монголка
морщинка	морщина
морячок	моряк
мотивчик	мотив
музейчик	музей
музычка	музыка
муравьишка	муравей
мухоморчик	мухомор
мягковатый	мягкий
мягонький	мягкий
Наденька	Надя
Надюшка	Надя
Надечка	Надя
Надька	Надя
Надюша	Надя
наискосочек	наискосок
поговорочка	поговорка
подарочек	подарок
подловатенький	подловатый
подносик	поднос
поездочка	поездка
скипидарчик	скипидар
сковородка	сковорода
сковородочка	сковородка
скольчик	скол
скоренько	скоро
скорехонько	скоро
скорешенько	скоро
скудненько	скудно
скуднехонько	скудно
скудноватенько	скудно
скудновато	скудно
смазочка	смазка
смазливенький	смазливый
сметанка	сметана
смирненький	смирный
смуглявенький	смуглявый
смущеньице	смущение
Снежаночка	Снежана
снимочек	снимок
собачоночка	собачонка
созданьице	создание
солнышко	солнце
Сонька	Соня
Сонечка	Соня
Сонюшка	Соня
соплеменничек	соплеменник
сопелька	сопля
сопротивленьице	сопротивление
соратничек	соратник
сосисочка	сосиска
сотрудничек	сотрудник
спиралька	спираль
спиртик	спирт
добротненько	добротно
довесочек	довесок
догонялочка	догонялка
драгоценненький	драгоценный
драненький	драный
дробненько	дробно
дробненький	дробный
дровишки	дрова
дубинка	дубина
дубиночка	дубина
дужка	дуга
духовочка	духовка
евреечка	еврейка
едковатый	едкий
енотик	енот
ехидненький	ехидный
Жаклиночка	Жаклин
Жанночка	Жанна
Жасминочка	жасмин
Наночка	Нана
напиточек	напиток
направленьице	направление
нарезочка	нарезка
Наташка	Наташа
Наташенька	Наташа
Наташечка	Наташа
нашлепочка	нашлепка
небрежненько	небрежно
невзрачненький	невзрачный
недоговорочка	недоговорка
полковничек	полковник
полушубочек	полушубок
поляночка	поляна
полянка	поляна
помощничек	помощник
пораженьице	поражение
портретик	портрет
поселочек	поселок
послушненько	послушно
постановочка	постановка
постановленьице	постановление
спортивненько	спортивно
сравненьице	сравнение
сродственничек	сродственник
старушечка	старушка
старушоночка	старушка
статуэточка	статуэтка
стайка	стая
стекляшечка	стекляшка
стеллажик	стеллаж
столечко	столько
страховочка	страховка
стремленьице	стремление
студентик	студент
стульчик	стул
ступенечка	ступенька
судилище	суд
сударушка	сударыня
судьбинушка	судьба
суматошливо	суматошно
схемочка	схема
схемка	схема
сюрпризец	сюрприз
сюрпризик	сюрприз
тактичненько	тактично
Тамарочка	Тамара
тапочка	тапка
твердехонько	твердо
тверденько	твердо
тверденький	твердый
твердоватый	твердый
текстик	текст
телеграммка	телеграмма
арабочка	арабка
Аркашка	Аркаша
Аркашенька	Аркаша
аспиранточка	аспирантка
асфальтик	асфальт
вонища	вонь
времечко	время
вывесочка	вывеска
концовочка	концовка
кораблик	корабль
кофеек	кофе
крабик	краб
краешек	край
красотища	красота
крепенько	крепко
крепконько	крепко
крепковато	крепко
крепонько	крепко
крепостишка	крепость
кривоватый	кривой
кривенький	кривой
кровожадненький	кровожадный
кувалдочка	кувалда
кузиночка	кузина
кулиска	кулиса
куманек	кум
курятничек	курятник
кустарничек	кустарник
кучка	куча
кучненько	кучно
кушеточка	кушетка
Лариска	Лариса
Ларисочка	Лариса
легавенький	легавый
лживенький	лживый
Лилечка	Лиля
паренечек	паренек
парилочка	парилка
паровозик	паровоз
партеечка	партия
партнерчик	партнер
паскудненько	паскудно
препаскудно	паскудно
паяльничек	паяльник
передничек	передник
перекресточек	перекресток
перерывчик	перерыв
рассудочек	рассудок
растеньице	растение
расторопненький	расторопный
расцветочка	расцветка
редисочка	редиска
Ренаточка	Рената
рисуночек	рисунок
робковатый	робкий
рогастенький	рогатый
рогатенький	рогатый
Родька	Родя
розовощекенький	розовощекий
рубашонка	рубаха
рубашка	рубаха
рулетик	рулет
рулеточка	рулетка
рулончик	рулон
Русланчик	Руслан
Руська	Рустам
ручечка	ручка
рыжеватый	рыжий
рыженький	рыжий
садисточка	садистка
саечка	сайка
салажонок	салага
салютик	салют
самогоночка	самогонка
высоконько	высоко
высоковато	высоко
гармошка	гармонь
Генриетточка	Генриетта
гиппопотамчик	гиппопотам
гламурчик	гламур
гламурненький	гламурный
глупенький	глупый
глуповатый	глупый
гнойничок	гнойник
голенастенький	голенастый
башка	голова
головушка	голова
головка	голова
голубенький	голубой
голубоватенький	голубой
голубоватый	голубой
гопачек	гопак
горожаночка	горожанка
горьковатый	горький
горяченький	горячий
листочек	листок
ловконько	ловко
ложечка	ложка
лоскуточек	лоскуток
лубочек	лубок
лучок	лук
лысоватый	лысый
лысенький	лысый
львеночек	львенок
лючок	люк
ляжечка	ляжка
лялечка	Ляля
лялька	Ляля
малинка	малина
малолеточка	малолетка
Мариночка	Марина
Маринка	Марина
марионеточка	марионетка
Маришечка	Мариша
Маришка	Мария
Марьюшка	Мария
Марусенька	Маруся
Маруська	Маруся
Марусечка	Маруся
маршрутик	маршрут
матрасик	матрас
медалька	медаль
мензурочка	мензурка
перетяжечка	перетяжка
переулочек	переулок
перцовочка	перцовка
пеструшечка	пеструшка
печечка	печка
пешечка	пешка
пижамка	пижама
пикантненький	пикантный
пилоточка	пилотка
пирожочек	пирожок
писклявенький	писклявый
питончик	питон
плавненько	плавно
планочка	планка
плетеночка	плетенка
плеточка	плетка
херовый	плохой
фиговый	плохой
плохонький	плохой
хуевый	плохой
плохенький	плохой
плоховатый	плохой
плутишка	плут
повышеньице	повышение
самокруточка	самокрутка
сарафанчик	сарафан
селезеночка	селезенка
семинарчик	семинар
сердитенький	сердитый
сережка	серьга
сивенький	сивый
сигаретка	сигарета
сигареточка	сигарета
ситничек	ситник
гражданочка	гражданка
грустнехонько	грустно
грустновато	грустно
грустненько	грустно
грязища	грязь
Дарьюшка	Дарья
дверка	дверь
дверца	дверь
движочек	движок
двухлеточка	двухлетка
девяточка	девятка
деляночка	делянка
денежка	деньга
деньжонка	деньга
деньжищи	деньга
вооруженьице	вооружение
воробьишка	воробей
воробушек	воробей
воробышек	воробей
вороватенький	вороватый
воскресеньице	воскресенье
встрясочка	встряска
бухло	выпивка
копилочка	копилка
коржик	корж
коротюсенький	короткий
коротенький	короткий
коротковатый	короткий
корявенько	коряво
корявенький	корявый
косенько	косо
косовато	косо
котельчик	котел
кошелечек	кошелек
кошмарненький	кошмарный
крапинка	крапина
кратенько	кратко
краюшечка	краюшка
креветочка	креветка
кристаллик	кристалл
кроваточка	кроватка
крокодильчик	крокодил
кружочек	кружок
крылатенький	крылатый
крылышко	крыло
кулончик	кулон
культурненький	культурный
курточка	куртка
куценько	куце
ладонюшка	ладонь
ладошка	ладонь
ларчик	ларец
лейтенантик	лейтенант
Ленечка	Леня
Ленька	Леня
лепесточек	лепесток
лепешечка	лепешка
линзочка	линза
параллельненько	параллельно
парашютик	парашют
паричок	парик
паршивенький	паршивый
певичка	певица
пидарас	педераст
переборочка	переборка
перевалочка	перевалка
передачка	передача
передозировочка	передозировка
перепелочка	перепелка
растяжечка	растяжка
Раечка	Рая
Региночка	Регина
реденький	редкий
редковатый	редкий
речка	река
речонка	река
речушка	река
рекордик	рекорд
репортажик	репортаж
ресурсик	ресурс
референточка	референтка
ржавенький	ржавый
ридикюльчик	ридикюль
ровненько	ровно
ровнешенько	ровно
ровнехонько	ровно
рожденьице	рождение
романтичненько	романтично
росиночка	росинка
рубаночек	рубанок
рубинчик	рубин
рукавичка	рукавица
рыночек	рынок
рядышком	рядом
сабелька	сабля
салатовенький	салатовый
самочка	самка
самоварчик	самовар
вязковатый	вязкий
гагарочка	гагара
гаденький	гадкий
гаечка	гайка
галерейка	галерея
гарнитурчик	гарнитур
гвоздичка	гвоздика
гектарчик	гектар
гирька	гиря
гладехонько	гладко
гладенько	гладко
глазище	глаз
глазик	глаз
глазищи	глаз
Глафирочка	Глафира
Глебушка	Глеб
глуховатый	глухой
гнильца	гниль
гномик	гном
говядинка	говядина
головастенький	головастый
голосище	голос
голосок	голос
голосочек	голос
горденький	гордый
литрик	литр
лодыжечка	лодыжка
Лолиточка	Лолита
лопоухонький	лопоухий
лохматенький	лохматый
лошаденка	лошадь
лошадочка	лошадь
лошадка	лошадь
лощинка	лощина
лысинка	лысина
любопытненький	любопытный
людоедочка	людоедка
Люсечка	Люся
Люсенька	Люся
лягушонок	лягушка
лягушоночек	лягушонок
майорчик	майор
маловатый	малый
Маргариточка	Маргарита
Марфушка	Марфа
массажик	массаж
Матильдочка	Матильда
Машутка	Маша
Машенька	Маша
Машка	Маша
мертвехонько	мертвенно
мертвехонький	мертвый
мертвенький	мертвый
месячишко	месяц
месяцок	месяц
месяцочек	месяц
мизинчик	мизинец
перестраховочка	перестраховка
перестрелочка	перестрелка
песенка	песня
петличка	петлица
петушок	петух
петушочек	петух
питаньице	питание
пичужка	пичуга
пиявочка	пиявка
плошечка	плошка
плутовочка	плутовка
плюгавенько	плюгаво
повязочка	повязка
Сарочка	Сара
сахарок	сахар
сборочка	сборка
свежатинка	свежатина
сверточек	сверток
свечечка	свечка
свиданьице	свидание
свитерок	свитер
своеобразненький	своеобразный
сдачка	сдача
секретик	секрет
секундочка	секунда
селеньице	селение
сержантик	сержант
деревяшечка	деревяшка
державочка	держава
дерзковатый	дерзкий
деталька	деталь
деталюшка	деталь
милашечка	милашка
мент	милиционер
мирненько	мирно
младенчик	младенец
многовато	много
премного	много
моделька	модель
молоденький	молодой
мордашка	морда
мордочка	морда
морковочка	морковка
моточек	моток
мотылек	мотыль
мрачненький	мрачный
мрачноватый	мрачный
мужичонка	мужик
мужичок	мужик
мужчинка	мужчина
мушка	муха
мятежничек	мятежник
наблюденьице	наблюдение
наборчик	набор
набросочек	набросок
наивненький	наивный
наказаньице	наказание
подборочка	подборка
подвальчик	подвал
подловатый	подлый
подленький	подлый
подстановочка	подстановка
подъемничек	подъемник
позитивненько	позитивно
скамеечка	скамейка
скатик	скат
скверик	сквер
скверчик	сквер
складик	склад
складочка	складка
складненький	складный
сколечко	сколько
скорпиончик	скорпион
скоренький	скорый
скучноватый	скучный
скучненький	скучный
славненький	славный
следочек	следок
слезинка	слеза
слезиночка	слеза
слойчик	слой
снеточек	снеток
соборчик	собор
совочек	совок
солдатик	солдат
солдатушка	солдат
соловушка	соловей
солярочка	солярка
сопелочка	сопелка
сосенка	сосна
сосеночка	сосна
спаленка	спальня
спектаклик	спектакль
спеленький	спелый
спинка	спина
спичечка	спичка
длинненько	длинно
предлинно	длинно
длинновато	длинно
донышко	дно
донце	дно
добренький	добрый
долгоносенький	долгоносый
должничек	должник
долларик	доллар
допросик	допрос
дороговатый	дорогой
предостаточно	достаточно
достиженьице	достижение
дохленько	дохло
дочурка	дочь
дочушка	дочь
дочурочка	дочь
дочечка	дочь
доченька	дочь
дочка	дочь
дружинничек	дружинник
дружненький	дружный
душистенький	душистый
душновато	душно
дымок	дым
дымочек	дым
дырочка	дырка
дядюшка	дядя
дяденька	дядя
дядечка	дядя
дядька	дядя
египтяночка	египтянка
Екатериночка	Екатерина
Еленочка	Елена
фигня	ерунда
херня	ерунда
Фрося	Ефросинья
жавороночек	жаворонок
жаждочка	жажда
прежарко	жарко
жарконько	жарко
желобок	желоб
наколочка	наколка
наливочка	наливка
наметочка	наметка
нападеньице	нападение
напарничек	напарник
насмешечка	насмешка
настырненький	настырный
натуральненько	натурально
невесточка	невеста
невестушка	невеста
покупочка	покупка
полненький	полный
полноватый	полный
полоска	полоса
полосочка	полоса
полупьяненький	полупьяный
помещеньице	помещение
помидорчик	помидор
понедельничек	понедельник
поросеночек	поросенок
поселеньице	поселение
спокойненький	спокойный
сраженьице	сражение
средненько	средне
старушка	старуха
старушенция	старуха
старушонка	старуха
стеклянненький	стеклянный
стенографисточка	стенографистка
Степочка	Степан
Степанушка	Степан
Стенька	Степан
стерженек	стержень
стильненький	стильный
стопочка	стопка
странноватенько	странновато
страстишка	страсть
стрелка	стрела
структурка	структура
стукачок	стукач
стюардессочка	стюардесса
сухощавенький	сухощавый
счетик	счет
сырничек	сырник
сюжетик	сюжет
сюжетец	сюжет
талончик	талон
творожничек	творожник
тележурналисточка	тележурналистка
телефонисточка	телефонистка
Антуанетточка	Антуанетта
Анфисочка	Анфиса
Анька	Аня
Анечка	Аня
атмосферка	атмосфера
серьезненько	серьезно
сигарка	сигара
сиротинушка	сирота
системка	система
системочка	система
гостинчик	гостинец
гранатка	граната
гроздочка	гроздь
грубияночка	грубиянка
групповушка	групповуха
грядочка	грядка
прегрязно	грязно
грязноватенько	грязно
грязновато	грязно
грязьненько	грязно
грязненько	грязно
гувернанточка	гувернантка
гусеничка	гусеница
Данилушка	Данила
Данилка	Данила
двустволочка	двустволка
предерзостно	дерзостно
детективчик	детектив
диковато	дико
предико	дико
диктофончик	диктофон
минералочка	минералка
минутка	минута
минуточка	минута
минуточка	минутка
Мишаня	Миша
Мишенька	Миша
Мишка	Миша
мобильничек	мобильник
молитвенничек	молитвенник
молодехонько	молодо
мониторчик	монитор
морозик	мороз
мортирка	мортира
мочалочка	мочалка
мрачноватенько	мрачно
мрачненько	мрачно
мрачновато	мрачно
муниципалитетик	муниципалитет
мутноватенький	мутноватый
мыльце	мыло
мясцо	мясо
мяско	мясо
наградочка	награда
нагрудничек	нагрудник
назначеньице	назначение
погремушечка	погремушка
поддончик	поддон
поделочка	поделка
подкладочка	подкладка
подловато	подло
подленько	подло
подозреньице	подозрение
подразделеньице	подразделение
подстраховочка	подстраховка
подтвержденьице	подтверждение
поздноватый	поздний
позитивчик	позитив
поклончик	поклон
скандальчик	скандал
скверноватый	скверный
скверненький	скверный
складненько	складно
слабоватый	слабый
слабенький	слабый
слабехонький	слабый
слезиночка	слезинка
слепенький	слепой
слеповатый	слепой
подслеповатый	слепой
слоненочек	слоненок
смартфончик	смартфон
смешочек	смешок
смирнехонько	смирно
смирехонько	смирно
смирненько	смирно
смирнешенько	смирно
смиренненько	смирно
смоквочка	смоква
смутненько	смутно
снежочек	снежок
сниженьице	снижение
сносненько	сносно
собачка	собака
собачонка	собака
содержаньице	содержание
сокращеньице	сокращение
соляночка	солянка
сомик	сом
соперничек	соперник
сопочка	сопка
соревнованьице	соревнование
сориночка	соринка
соседочка	соседка
составчик	состав
спальничек	спальник
деточка	дите
длинноватенький	длинноватый
длинноволосенький	длинноволосый
длинноносенький	длинноносый
дневничок	дневник
догадочка	догадка
дождичек	дождик
долговатый	долгий
долгонький	долгий
дороженька	дорога
дорожка	дорога
досадненький	досадный
доярочка	доярка
драндулетик	драндулет
дрянненький	дрянной
дубок	дуб
дубочек	дуб
дубоватый	дубовый
дурачок	дурак
духовненько	духовно
душевненько	душевно
дырявенький	дырявый
жадноватый	жадный
жадненький	жадный
железненький	железный
желтоватенький	желтоватый
желточек	желток
желтенький	желтый
желтоватый	желтый
жемчужинка	жемчужина
накладненько	накладно
наперсточек	наперсток
напоследочек	напоследок
напряженьице	напряжение
народец	народ
народишко	народ
населеньице	население
Настюша	Настя
Настенька	Настя
невеселенький	невеселый
невинненький	невинный
негативненько	негативно
недешевенький	недешевый
половиночка	половина
половинка	половина
половиночка	половинка
порученьице	поручение
порывчик	порыв
посадочка	посадка
поселяночка	поселянка
последненький	последний
пособничек	пособник
сраненький	сраный
староватенький	староватый
странненько	странно
странновато	странно
вопросец	вопрос
вопросик	вопрос
воротничек	воротник
восстановленьице	восстановление
вредненький	вредный
втихомолочку	втихомолку
выписочка	выписка
выправочка	выправка
выпускничок	выпускник
вырезочка	вырезка
корзиночка	корзина
корзинка	корзина
корнишончик	корнишон
корпусочек	корпус
корреспонденточка	корреспондентка
корытце	корыто
косица	коса
косичка	коса
косматенький	косматый
косенький	косой
косоватый	косой
косорыленький	косорылый
кофейничек	кофейник
кочечка	кочка
кошмарик	кошмар
кошмарчик	кошмар
красноносенький	красноносый
кривовато	криво
кривоватенько	криво
кривенько	криво
кривобокенький	кривобокий
кривоватенький	кривоватый
кроватка	кровать
кромочка	кромка
крупиночка	крупинка
крупненький	крупный
крупноватый	крупный
кукушечка	кукушка
кулечек	кулек
культяпочка	культяпка
купончик	купон
курвочка	курва
курсисточка	курсистка
кусочек	кусок
лаборанточка	лаборантка
ладненький	ладный
лазеечка	лазейка
ласковенько	ласково
лгунишка	лгун
лежаночка	лежанка
лемурчик	лемур
Ленка	Лена
Леночка	Лена
ленивенько	лениво
ленивенький	ленивый
лесбияночка	лесбиянка
либеральненько	либерально
ликерчик	ликер
партизаночка	партизанка
патрончик	патрон
паучок	паук
пацаночка	пацанка
педалька	педаль
пейзажненько	пейзажно
пельмешек	пельмень
первоклашка	первоклассник
перепоночка	перепонка
расстояньице	расстояние
расчисточка	расчистка
револьверчик	револьвер
редехонько	редко
реденько	редко
речечка	речка
ровесничек	ровесник
рожица	рожа
рокировочка	рокировка
ростик	рост
рояльчик	рояль
русалочка	русалка
русенький	русый
рычажок	рычаг
высоконький	высокий
высоковатый	высокий
вьюночек	вьюнок
вязаночка	вязанка
вяловатый	вялый
вяленький	вялый
прегадко	гадко
гаденько	гадко
Гертрудочка	Гертруда
гладенький	гладкий
гнусненько	гнусно
голосованьице	голосование
горденько	гордо
горлышко	горло
листовочка	листовка
логичненько	логично
локальненький	локальный
ломик	лом
лоханочка	лоханка
лукавенький	лукавый
лысоватенький	лысоватый
Магдалиночка	Магдалина
мальчишечка	мальчик
мальчишка	мальчик
мальчонка	мальчик
мамашечка	мамаша
маникюрчик	маникюр
Марианночка	Марианна
марочка	марка
мартышечка	мартышка
Марьяночка	Марьяна
маскировочка	маскировка
матушка	мать
мамка	мать
маятничек	маятник
медок	мед
медвежоночек	медвежонок
мерзавчик	мерзавец
перспективненький	перспективный
песик	пес
печалька	печаль
пиздатенький	пиздатый
пирамидка	пирамида
пиратик	пират
плакатик	плакат
плодик	плод
плоховатенько	плохо
плохонько	плохо
преплохо	плохо
плохенько	плохо
плоховато	плохо
площадка	площадка
площадочка	площадка
пляжик	пляж
повозочка	повозка
поганенько	погано
Санечка	Саня
Санька	Саня
Сашок	Саша
Сашка	Саша
Сашенька	Саша
свалочка	свалка
свеженький	свежий
свежохонький	свежий
светленький	светлый
светловатый	светлый
селедочка	селедка
семерочка	семерка
Сенька	Сеня
Сереженька	Сережа
сероватый	серый
серенький	серый
сильненький	сильный
синеглазенький	синеглазый
готичненько	готично
графичек	график
гривастенький	гривастый
гробик	гроб
грошик	грош
грузноватый	грузный
грядка	гряда
гудочек	гудок
далеконько	далеко
далехонько	далеко
далековато	далеко
далеченько	далеко
Дашечка	Даша
Дашка	Даша
Дашенька	Даша
дверочка	дверка
дебиловатый	дебильный
девка	девушка
денечек	день
денек	день
дефицитик	дефицит
диковатый	дикий
миллиардик	миллиард
миллиончик	миллион
миленько	мило
милосердненький	милосердный
младшенький	младший
многоватенько	многовато
молитвочка	молитва
моржик	морж
мошенничек	мошенник
музыкантик	музыкант
мутантик	мутант
мутненький	мутный
мутноватый	мутный
мышленьице	мышление
наглядненько	наглядно
нагрузочка	нагрузка
надеждочка	надежда
названьице	название
погодка	погода
погончик	погон
подковырочка	подковырка
подловатенько	подловато
подляночка	подлянка
подоконничек	подоконник
подруженька	подруга
подружка	подруга
подснежничек	подснежник
подстилочка	подстилка
подушечка	подушка
поздравленьице	поздравление
показаньице	показание
поклонничек	поклонник
скляночка	склянка
скорлупка	скорлупа
скороговорочка	скороговорка
скотинка	скотина
скульптурка	скульптура
слабинка	слабина
славяночка	славянка
сладковато	сладко
сладенько	сладко
сладехонько	сладко
сладешенько	сладко
слащавенький	слащавый
следок	след
сложноватый	сложный
случайненько	случайно
смугловатый	смуглый
смугленький	смуглый
снегурочка	снегурка
снежиночка	снежинка
собачечка	собачка
собутыльничек	собутыльник
совещаньице	совещание
соломка	солома
сомненьице	сомнение
сообщничек	сообщник
сопровожденьице	сопровождение
соседушка	сосед
союзничек	союзник
добавочка	добавка
должок	долг
дорогушечка	дорогуша
дородненький	дородный
доставочка	доставка
дряхленький	дряхлый
дряхловатый	дряхлый
Женя	Евгений
еврейчик	еврей
едконько	едко
Емеля	Емельян
жабочка	жаба
жалковатый	жалкий
жгутик	жгут
желудочек	желудок
напряжненько	напряжно
нарукавничек	нарукавник
нарядик	наряд
настоечка	настойка
настроеньице	настроение
нахальненько	нахально
нахлебничек	нахлебник
находочка	находка
покорненько	покорно
полочка	полка
полнешенько	полно
полнехонько	полно
помоечка	помойка
понемножку	понемногу
понемножечку	понемногу
понятьице	понятие
попочка	попа
попка	попа
порнушка	порнуха
поставочка	поставка
спутничек	спутник
ссылочка	ссылка
стамесочка	стамеска
Стаська	Стас
Стасик	Стас
Стеллочка	стелла
стеночка	стенка
сторонушка	сторона
сторонка	сторона
страданьице	страдание
страшноватенький	страшноватый
струночка	струнка
стыдненько	стыдно
стыднехонько	стыдно
стыдновато	стыдно
стыдобища	стыдоба
сувенирчик	сувенир
сумасшедшенький	сумасшедший
суховатый	сухой
сухонький	сухой
сценочка	сцена
сценка	сцена
сыренько	сыро
сыровато	сыро
сытенький	сытый
табличка	таблица
Танька	Таня
Танюха	Таня
Танюша	Таня
Танечка	Таня
Танюшка	Таня
тачечка	тачка
арендочка	аренда
Артурчик	Артур
астраханочка	астраханка
аэропортик	аэропорт
багажничек	багажник
баечка	байка
балериночка	балерина
балеринка	балерина
батончик	батон
белесовато	белесо
Беллочка	Белла
белокуренький	белокурый
запретненький	запретный
зарисовочка	зарисовка
застежечка	застежка
затылочек	затылок
захудаленький	захудалый
зацепочка	зацепка
зашарпаненько	зашарпано
